User;Parameter;Q1 - Data and Ontology;Q1 - Only Data;Q2 - Data and Ontology;Q2 - Only Data;Q3 - Data and Ontology;Q3 - Only Data;Q4 - Data and Ontology;Q4 - Only Data;Q5 - Data and Ontology;Q5 - Only Data;Q6 - Data and Ontology;Q6 - Only Data;Q7 - Data and Ontology;Q7 - Only Data;Q8 - Data and Ontology;Q8 - Only Data;Q9 - Data and Ontology;Q9 - Only Data
U1;Accuracy;5;5;5;5;5;5;4;4;3;1;5;5;5;5;5;5;5;5
U1;Completeness (Recall);5;5;5;5;5;5;5;2;5;1;5;5;5;5;5;5;5;5
U1;Clarity and Structure;3;5;5;5;4;5;5;5;5;4;2;4;2;5;5;5;5;4
U1;Depth and Detail;5;2;5;5;5;3;5;1;5;1;5;5;5;4;5;3;5;1
U1;Practicality and Usefulness (Precision);5;4;5;5;5;5;4;2;4;1;4;4;4;3;5;5;4;1
U2;Accuracy;5;4;5;5;5;5;1;1;5;1;5;5;5;5;1;1;5;5
U2;Completeness (Recall);5;3;5;5;5;4;4;2;5;1;5;1;5;3;2;2;5;3
U2;Clarity and Structure;4;2;5;5;5;4;5;3;5;1;5;4;5;5;5;5;5;2
U2;Depth and Detail;5;3;5;5;5;2;4;2;5;1;5;1;5;2;1;1;5;2
U2;Practicality and Usefulness (Precision);2;1;5;5;4;2;3;1;5;1;5;3;4;3;1;1;5;2
U3;Accuracy;5;4;5;5;5;5;5;5;5;1;5;5;5;5;1;1;5;5
U3;Completeness (Recall);5;3;4;4;4;4;4;2;5;1;5;1;5;3;2;2;5;3
U3;Clarity and Structure;4;2;4;4;3;4;5;3;5;1;5;4;5;5;5;5;5;2
U3;Depth and Detail;4;1;5;5;5;2;4;2;5;1;5;1;5;2;1;1;5;2
U3;Practicality and Usefulness (Precision);2;1;5;5;4;2;3;1;5;1;5;3;4;3;1;1;5;2
U4;Accuracy;5;4;4;4;4;3;4;3;4;1;5;3;4;3;1;1;5;2
U4;Completeness (Recall);5;3;4;4;4;3;4;3;4;2;5;3;4;3;1;1;4;2
U4;Clarity and Structure;3;3;3;3;4;3;4;3;4;1;5;3;4;3;3;3;4;3
U4;Depth and Detail;4;3;5;5;4;3;4;3;4;1;5;3;4;3;2;2;4;1
U4;Practicality and Usefulness (Precision);4;3;4;4;4;3;4;3;4;1;5;3;4;3;2;2;4;2
U5;Accuracy;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;3
U5;Completeness (Recall);5;4;5;5;5;3;5;2;5;1;5;3;5;4;5;5;5;1
U5;Clarity and Structure;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5
U5;Depth and Detail;5;3;5;5;5;2;5;1;5;1;5;3;5;3;5;5;5;1
U5;Practicality and Usefulness (Precision);5;3;5;5;5;4;5;1;5;1;5;3;5;4;4;4;5;1
U6;Accuracy;4;4;5;5;5;4;5;4;5;2;5;3;5;5;5;5;5;1
U6;Completeness (Recall);3;4;5;5;4;4;5;4;5;3;5;5;5;5;5;5;5;2
U6;Clarity and Structure;4;4;5;5;4;4;5;5;5;5;5;3;5;5;5;5;5;1
U6;Depth and Detail;2;2;5;5;5;4;5;4;5;1;5;5;5;5;5;5;5;1
U6;Practicality and Usefulness (Precision);3;3;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1
U7;Accuracy;4;4;5;5;5;4;5;4;5;2;5;3;5;5;5;5;5;1
U7;Completeness (Recall);3;4;5;5;4;4;5;4;5;3;5;5;5;5;5;5;5;2
U7;Clarity and Structure;4;4;5;5;4;4;5;5;5;5;5;3;5;5;5;5;5;1
U7;Depth and Detail;2;2;5;5;5;4;5;4;5;1;5;5;5;5;5;5;5;1
U7;Practicality and Usefulness (Precision);3;3;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;1
U8;Accuracy;5;5;5;5;5;5;3;3;5;1;5;5;5;5;2;2;5;5
U8;Completeness (Recall);5;3;5;5;5;3;4;3;5;5;5;3;5;4;2;2;5;2
U8;Clarity and Structure;2;4;5;5;5;5;5;5;5;5;3;4;2;4;5;5;4;5
U8;Depth and Detail;5;2;5;5;5;3;3;2;5;1;5;4;5;4;2;2;5;3
U8;Practicality and Usefulness (Precision);5;5;5;5;5;5;3;3;3;1;5;5;4;4;1;1;5;5
U9;Accuracy;4;4;5;5;4;4;4;4;4;1;4;4;5;5;4;4;4;2
U9;Completeness (Recall);5;4;5;5;4;4;4;3;4;1;3;4;5;4;5;4;4;2
U9;Clarity and Structure;5;5;3;3;4;5;4;5;5;4;3;4;5;5;5;5;4;2
U9;Depth and Detail;5;3;5;5;4;4;2;2;4;1;3;3;5;4;5;4;3;1
U9;Practicality and Usefulness (Precision);4;3;3;3;4;4;4;3;3;1;3;3;5;4;3;3;4;1
U10;Accuracy;4;3;4;4;5;4;5;3;5;2;5;3;5;4;5;5;5;1
U10;Completeness (Recall);4;3;5;5;4;4;5;4;5;4;5;5;5;4;5;5;5;1
U10;Clarity and Structure;4;4;4;4;4;4;5;5;5;5;5;4;5;4;4;5;5;2
U10;Depth and Detail;3;3;5;5;5;3;5;4;5;2;5;4;5;4;5;5;5;1
U10;Practicality and Usefulness (Precision);3;4;4;4;5;4;5;4;5;4;5;2;5;4;5;5;5;1
U11;Accuracy;5;5;5;5;5;5;3;3;5;1;5;5;5;5;2;2;5;5
U11;Completeness (Recall);5;3;5;5;5;3;4;3;5;5;5;3;5;4;2;2;5;2
U11;Clarity and Structure;5;5;4;4;5;5;3;4;5;1;2;2;5;4;5;5;4;5
U11;Depth and Detail;3;2;5;5;4;2;5;4;2;1;4;4;5;4;1;1;5;1
U11;Practicality and Usefulness (Precision);5;4;4;4;5;4;4;3;4;1;4;4;5;2;3;3;5;1
U12;Accuracy;5;4;5;5;4;4;4;4;4;1;4;4;5;5;4;4;4;2
U12;Completeness (Recall);4;4;5;5;5;4;5;3;5;1;4;4;4;3;3;3;4;2
U12;Clarity and Structure;3;4;4;4;5;3;4;3;5;1;3;4;4;3;2;2;5;2
U12;Depth and Detail;4;1;4;4;5;2;5;2;4;1;3;3;5;2;2;2;5;1
U12;Practicality and Usefulness (Precision);3;2;4;4;5;2;4;2;4;1;4;4;5;2;3;3;5;2
U13;Accuracy;5;5;4;4;5;5;5;4;5;1;5;4;5;4;5;4;5;3
U13;Completeness (Recall);5;5;5;5;5;5;5;3;5;1;5;2;5;3;5;4;5;2
U13;Clarity and Structure;2;5;2;2;5;5;5;3;5;1;5;4;4;4;5;4;5;4
U13;Depth and Detail;2;4;2;2;5;3;5;4;5;1;5;2;5;4;5;4;5;2
U13;Practicality and Usefulness (Precision);3;5;1;1;5;5;5;4;5;1;4;3;4;3;5;2;5;2
U14;Accuracy;5;4;5;5;5;5;5;5;4;1;4;4;5;5;3;3;4;2
U14;Completeness (Recall);5;4;5;5;4;4;4;2;4;1;4;4;5;4;4;4;4;1
U14;Clarity and Structure;5;5;2;2;4;5;3;5;5;3;2;4;4;4;5;5;4;2
U14;Depth and Detail;5;3;5;5;4;3;3;2;4;1;3;3;5;4;5;4;4;1
U14;Practicality and Usefulness (Precision);4;3;3;3;4;4;4;2;4;1;2;2;5;4;3;3;4;1
