Question Number;Data Type;Accuracy;Completeness (Recall);Clarity and Structure;Depth and Detail;Practicality and Usefulness (Precision)
Q1;Only Data;4,29;3,71;4,07;2,43;3,14
Q2;Only Data;4,79;4,86;4,00;4,71;4,14
Q3;Only Data;4,50;3,86;4,36;2,86;3,86
Q4;Only Data;3,71;2,86;4,21;2,64;2,79
Q5;Only Data;1,21;2,14;2,71;1,07;1,79
Q6;Only Data;4,14;3,43;3,71;3,29;3,07
Q7;Only Data;4,71;3,86;4,36;3,57;3,50
Q8;Only Data;3,36;3,50;4,57;3,14;3,07
Q9;Only Data;3,00;2,14;2,86;1,36;1,64
Q1;Data and Ontology;4,71;4,57;3,79;3,86;3,64
Q2;Data and Ontology;4,79;4,86;4,00;4,71;4,14
Q3;Data and Ontology;4,79;4,50;4,36;4,71;4,64
Q4;Data and Ontology;4,14;4,50;4,50;4,29;4,14
Q5;Data and Ontology;4,57;4,79;4,93;4,50;4,36
Q6;Data and Ontology;4,79;4,71;3,93;4,50;4,36
Q7;Data and Ontology;4,93;4,86;4,29;4,93;4,57
Q8;Data and Ontology;3,43;3,64;4,57;3,50;3,29
Q9;Data and Ontology;4,79;4,71;4,64;4,71;4,71
